"_id",dt,event,type,url,user
5ba1cb307d07d54102509442,,click,question,https://stackoverflow.com/questions/52350922/word-wrap-in-java-swing-with-hard-wrap-pixel-limit,aaa
5ba1cb307d07d54102509443,,click,question,https://stackoverflow.com/questions/52350940/i-want-to-display-the-occurrence-of-a-character-in-string-how-can-i-improve-my,aaa
5ba1cb307d07d54102509444,,click,question,https://stackoverflow.com/questions/52350922/word-wrap-in-java-swing-with-hard-wrap-pixel-limit,aaa
5ba1cb307d07d54102509445,,click,question,https://stackoverflow.com/questions/52350883/code-would-produce-a-different-output-than-i-was-expecting,aaa
5ba1cb307d07d54102509446,,click,question,https://stackoverflow.com/questions/52350881/assertion-error-of-a-test-case-leads-to-failure-of-all-subsequent-test-cases-whi,aaa
5ba1cb307d07d54102509447,,click,question,https://stackoverflow.com/questions/52350940/i-want-to-display-the-occurrence-of-a-character-in-string-how-can-i-improve-my,aaa
5ba1cb307d07d54102509448,,click,question,https://stackoverflow.com/questions/52350940/i-want-to-display-the-occurrence-of-a-character-in-string-how-can-i-improve-my,aaa
5ba1cb307d07d54102509449,,click,question,https://stackoverflow.com/questions/52350922/word-wrap-in-java-swing-with-hard-wrap-pixel-limit,aaa
5ba1cb307d07d5410250944a,,click,question,https://stackoverflow.com/questions/52350883/code-would-produce-a-different-output-than-i-was-expecting,aaa
5ba1cb307d07d5410250944b,,click,profile,https://stackoverflow.com/users/10369729/user10369729,aaa
5ba1cb307d07d5410250944c,,click,profile,https://stackoverflow.com/users/1923853/hawox-swords,aaa
5ba1cb307d07d5410250944d,,click,question,https://stackoverflow.com/questions/52350940/i-want-to-display-the-occurrence-of-a-character-in-string-how-can-i-improve-my,aaa
5ba1cb307d07d5410250944e,,click,question,https://stackoverflow.com/questions/52350922/word-wrap-in-java-swing-with-hard-wrap-pixel-limit,aaa
5ba1cb307d07d5410250944f,,click,question,https://stackoverflow.com/questions/52350883/code-would-produce-a-different-output-than-i-was-expecting,aaa
5ba1cb307d07d54102509450,,click,question,https://stackoverflow.com/questions/52350940/i-want-to-display-the-occurrence-of-a-character-in-string-how-can-i-improve-my,aaa
5ba1cb307d07d54102509451,,click,question,https://stackoverflow.com/questions/52350940/i-want-to-display-the-occurrence-of-a-character-in-string-how-can-i-improve-my,aaa
5ba1cb307d07d54102509452,,click,question,https://stackoverflow.com/questions/52350940/i-want-to-display-the-occurrence-of-a-character-in-string-how-can-i-improve-my,aaa
5ba1cbcb7d07d541f343f3ae,2018-09-18T21:08:43.461Z,click,question,https://stackoverflow.com/questions/52350940/i-want-to-display-the-occurrence-of-a-character-in-string-how-can-i-improve-my,aaa
5ba1cbcd7d07d541f343f3af,2018-09-18T21:08:45.215Z,click,question,https://stackoverflow.com/questions/52350940/i-want-to-display-the-occurrence-of-a-character-in-string-how-can-i-improve-my,aaa
5ba1cbce7d07d541f343f3b0,2018-09-18T21:08:46.627Z,click,question,https://stackoverflow.com/questions/52350922/word-wrap-in-java-swing-with-hard-wrap-pixel-limit,aaa
5ba1cbd07d07d541f343f3b1,2018-09-18T21:08:48.708Z,click,question,https://stackoverflow.com/questions/52350883/code-would-produce-a-different-output-than-i-was-expecting,aaa
5ba1d03b7d07d54472208217,2018-09-18T21:27:39.907Z,click,question,https://stackoverflow.com/questions/52350881/assertion-error-of-a-test-case-leads-to-failure-of-all-subsequent-test-cases-whi,aaa
5ba1d03b7d07d54472208218,2018-09-18T21:27:39.907Z,click,question,https://stackoverflow.com/questions/52350940/i-want-to-display-the-occurrence-of-a-character-in-string-how-can-i-improve-my,aaa
5ba1d03b7d07d54472208219,2018-09-18T21:27:39.907Z,click,question,https://stackoverflow.com/questions/52350922/word-wrap-in-java-swing-with-hard-wrap-pixel-limit,aaa
5ba1d03b7d07d5447220821a,2018-09-18T21:27:39.907Z,click,question,https://stackoverflow.com/questions/52350883/code-would-produce-a-different-output-than-i-was-expecting,aaa
5ba1d03b7d07d5447220821b,2018-09-18T21:27:39.907Z,click,question,https://stackoverflow.com/questions/52350881/assertion-error-of-a-test-case-leads-to-failure-of-all-subsequent-test-cases-whi,aaa
5ba1d03b7d07d5447220821c,2018-09-18T21:27:39.907Z,click,question,https://stackoverflow.com/questions/52350867/hosting-web-api-in-embedded-web-server-in-java,aaa
